lead_id,created_date,channel,company_size,industry,persona,region,mql,sql,demo,trial,closed_won,sales_cycle_days,acv,lost_reason
1,2025-12-06,Organic,1-10,Services,Founder,India,1,1,1,0,0,,,No response
2,2025-08-31,Organic,51-200,FinTech,Founder,India,0,0,0,0,0,,,No response
3,2025-01-21,Organic,11-50,SaaS,Head of Sales,Europe,1,1,1,1,1,41.0,5753.0,Won
4,2025-07-29,Referral,51-200,SaaS,Founder,India,1,1,1,1,0,,,No budget
5,2025-10-25,Sales Outbound,51-200,SaaS,RevOps,North America,1,1,1,1,0,,,No urgency
6,2025-12-30,Referral,11-50,E-commerce,Head of Sales,SEA,0,0,0,0,0,,,No urgency
7,2025-08-30,Paid Search,11-50,SaaS,Head of Sales,India,1,1,1,0,0,,,No urgency
8,2025-10-31,Partner,11-50,Services,Head of Sales,SEA,0,0,0,0,0,,,Poor fit
9,2025-02-13,Sales Outbound,1-10,E-commerce,Founder,India,1,1,1,0,0,,,No response
10,2025-03-11,Sales Outbound,51-200,SaaS,Head of Sales,SEA,0,0,0,0,0,,,No budget
11,2025-12-27,Sales Outbound,51-200,HealthTech,Head of Sales,SEA,0,0,0,0,0,,,No urgency
12,2025-12-20,Organic,11-50,HealthTech,Finance,North America,1,1,0,0,0,,,No response
13,2025-12-22,Organic,1-10,E-commerce,Founder,India,1,0,0,0,0,,,Poor fit
14,2025-07-06,Paid Search,1-10,E-commerce,Head of Sales,India,1,1,1,1,0,,,No budget
15,2025-05-24,Sales Outbound,11-50,FinTech,Product,India,1,1,1,0,0,,,Competitor
16,2025-11-07,Sales Outbound,11-50,Services,Founder,India,0,0,0,0,0,,,No urgency
17,2025-03-14,Referral,51-200,SaaS,Head of Sales,India,1,1,1,1,0,,,No urgency
18,2025-03-01,Sales Outbound,51-200,SaaS,Head of Sales,Europe,1,0,0,0,0,,,No budget
19,2025-09-18,Organic,11-50,Services,Head of Sales,Europe,1,1,1,0,0,,,No budget
20,2025-04-09,Partner,1-10,SaaS,Founder,Europe,1,1,0,0,0,,,No response
21,2025-03-15,Sales Outbound,1-10,E-commerce,Head of Sales,India,0,0,0,0,0,,,No response
22,2025-12-20,Referral,51-200,SaaS,Head of Sales,North America,1,1,0,0,0,,,No urgency
23,2025-12-02,Organic,51-200,SaaS,RevOps,India,0,0,0,0,0,,,No budget
24,2025-07-11,Founder Outbound,11-50,SaaS,Head of Sales,Europe,1,1,1,1,1,41.0,6935.0,Won
25,2025-03-27,Paid Search,1-10,E-commerce,RevOps,Europe,0,0,0,0,0,,,No response
