account_id,signup_date,plan,company_size,industry,acquisition_channel,region,activated,activation_date,paid,paid_date,churned,churn_date,feature_adoption_score,mrr
1,2025-02-17,Growth,11-50,FinTech,Outbound,India,1,2025-02-27,1,2025-03-17,1,2025-05-29,0.247,99.0
2,2025-01-11,Starter,1-10,SaaS,Paid Search,India,0,,0,,0,,0.454,0.0
3,2025-08-02,Pro,1-10,E-commerce,Organic,Europe,0,,0,,0,,0.13,0.0
4,2025-06-16,Growth,11-50,Services,Paid Search,India,1,2025-06-22,0,,0,,0.47,0.0
5,2025-02-06,Starter,1-10,E-commerce,Outbound,Europe,1,2025-02-14,1,2025-03-01,1,2025-05-18,0.261,39.0
6,2025-09-30,Pro,51-200,SaaS,Referral,SEA,1,2025-10-01,1,2025-10-15,0,,0.777,298.8
7,2025-05-10,Growth,1-10,FinTech,Organic,SEA,1,2025-05-15,1,2025-05-24,1,2025-12-23,0.463,99.0
8,2025-05-06,Growth,51-200,FinTech,Outbound,India,1,2025-05-07,0,,0,,0.534,0.0
9,2025-09-01,Starter,11-50,SaaS,Organic,Europe,1,2025-09-06,0,,0,,0.701,0.0
10,2025-08-24,Starter,1-10,Services,Partner,India,1,2025-09-06,1,2025-09-14,1,2025-12-27,0.713,39.0
11,2025-07-19,Starter,11-50,SaaS,Paid Search,India,0,,0,,0,,0.201,0.0
12,2025-12-25,Pro,51-200,SaaS,Organic,India,1,2026-01-03,1,2026-01-17,0,,0.487,298.8
13,2025-09-12,Growth,51-200,HealthTech,Organic,India,1,2025-09-14,1,2025-10-07,1,2026-03-23,0.196,118.8
14,2025-02-15,Starter,11-50,FinTech,Referral,Europe,1,2025-02-27,1,2025-03-07,1,2025-07-28,0.11,39.0
15,2025-06-09,Starter,1-10,Services,Organic,North America,1,2025-06-09,1,2025-07-09,1,2025-11-21,0.214,39.0
16,2025-05-18,Growth,11-50,Services,Referral,Europe,1,2025-05-19,1,2025-06-07,0,,0.561,99.0
17,2025-11-04,Starter,51-200,FinTech,Paid Search,India,1,2025-11-18,1,2025-11-22,0,,0.601,46.8
18,2025-02-03,Starter,1-10,FinTech,Paid Search,North America,1,2025-02-10,0,,0,,0.665,0.0
19,2025-08-26,Starter,11-50,Services,Referral,India,1,2025-09-03,1,2025-09-05,1,2025-12-19,0.105,39.0
20,2025-08-07,Growth,11-50,E-commerce,Paid Search,Europe,1,2025-08-14,0,,0,,0.648,0.0
21,2025-01-03,Growth,11-50,SaaS,Outbound,India,1,2025-01-17,1,2025-01-12,0,,0.739,99.0
22,2025-04-25,Starter,11-50,Services,Paid Search,India,1,2025-04-30,0,,0,,0.491,0.0
23,2025-10-01,Pro,1-10,Services,Referral,India,1,2025-10-02,1,2025-10-28,1,2026-02-14,0.107,249.0
24,2025-09-13,Pro,51-200,SaaS,Referral,India,1,2025-09-14,1,2025-10-01,0,,0.747,298.8
25,2025-08-27,Starter,11-50,SaaS,Organic,India,1,2025-08-28,1,2025-09-22,0,,0.932,39.0
26,2025-04-13,Starter,11-50,SaaS,Paid Search,India,1,2025-04-15,0,,0,,0.592,0.0
27,2025-10-15,Growth,11-50,HealthTech,Referral,India,1,2025-10-28,0,,0,,0.413,0.0
28,2025-05-02,Starter,11-50,HealthTech,Organic,Europe,1,2025-05-03,0,,0,,0.159,0.0
29,2025-11-03,Starter,1-10,HealthTech,Paid Search,North America,1,2025-11-09,0,,0,,0.308,0.0
30,2025-05-13,Starter,1-10,SaaS,Paid Search,SEA,0,,0,,0,,0.541,0.0
31,2025-04-26,Pro,11-50,SaaS,Referral,North America,1,2025-05-01,1,2025-05-24,0,,0.763,249.0
32,2025-05-03,Starter,11-50,SaaS,Paid Search,India,1,2025-05-04,0,,0,,0.158,0.0
33,2025-01-08,Starter,1-10,Services,Outbound,SEA,1,2025-01-10,0,,0,,0.489,0.0
34,2025-12-08,Pro,1-10,FinTech,Partner,India,1,2025-12-12,1,2026-01-04,0,,0.74,249.0
35,2025-03-25,Starter,51-200,HealthTech,Organic,India,1,2025-03-26,1,2025-04-24,1,2025-10-06,0.531,46.8
