session_id,user_id,started_at,device,channel,visited_at,viewed_at,carted_at,checked_out_at,purchased_at
S00001,U01829,2026-03-23T04:03:12Z,Mobile,Organic,2026-03-23T04:03:12Z,2026-03-23T04:03:48Z,,,
S00002,U00768,2026-03-11T03:09:55Z,Mobile,Organic,2026-03-11T03:09:55Z,2026-03-11T03:12:14Z,,,
S00003,U03437,2026-03-13T07:14:22Z,Desktop,Social,2026-03-13T07:14:22Z,2026-03-13T07:17:02Z,,,
S00004,U01274,2026-01-01T05:48:46Z,Desktop,Organic,2026-01-01T05:48:46Z,2026-01-01T05:50:22Z,2026-01-01T05:52:09Z,2026-01-01T05:53:47Z,2026-01-01T05:54:08Z
S00005,U04523,2026-03-10T04:32:41Z,Tablet,Paid Search,2026-03-10T04:32:41Z,2026-03-10T04:35:31Z,,,
S00006,U05418,2026-02-16T21:01:14Z,Mobile,Organic,2026-02-16T21:01:14Z,2026-02-16T21:02:38Z,,,
S00007,U06834,2026-01-30T03:40:38Z,Mobile,Paid Search,2026-01-30T03:40:38Z,2026-01-30T03:42:22Z,,,
S00008,U00585,2026-03-27T09:43:13Z,Desktop,Social,2026-03-27T09:43:13Z,2026-03-27T09:44:06Z,,,
S00009,U07581,2026-02-01T05:56:57Z,Mobile,Organic,2026-02-01T05:56:57Z,2026-02-01T05:59:29Z,2026-02-01T06:01:02Z,,
S00010,U03287,2026-01-08T08:20:21Z,Desktop,Social,2026-01-08T08:20:21Z,2026-01-08T08:21:25Z,,,
S00011,U07248,2026-03-14T11:27:25Z,Mobile,Paid Search,2026-03-14T11:27:25Z,,,,
S00012,U04599,2026-02-28T05:12:06Z,Mobile,Organic,2026-02-28T05:12:06Z,2026-02-28T05:14:45Z,,,
S00013,U01134,2026-03-16T14:32:30Z,Mobile,Email,2026-03-16T14:32:30Z,2026-03-16T14:33:03Z,,,
S00014,U03459,2026-01-15T05:33:53Z,Desktop,Social,2026-01-15T05:33:53Z,2026-01-15T05:35:41Z,,,
S00015,U07721,2026-03-01T19:15:52Z,Mobile,Paid Search,2026-03-01T19:15:52Z,2026-03-01T19:16:31Z,,,
S00016,U02405,2026-03-10T09:42:53Z,Desktop,Organic,2026-03-10T09:42:53Z,2026-03-10T09:44:59Z,2026-03-10T09:46:16Z,,
S00017,U02445,2026-01-23T18:29:02Z,Desktop,Social,2026-01-23T18:29:02Z,,,,
S00018,U01324,2026-03-06T22:10:18Z,Mobile,Paid Search,2026-03-06T22:10:18Z,2026-03-06T22:12:43Z,,,
S00019,U02974,2026-03-18T11:48:07Z,Mobile,Organic,2026-03-18T11:48:07Z,,,,
S00020,U07758,2026-02-09T08:43:05Z,Mobile,Social,2026-02-09T08:43:05Z,2026-02-09T08:45:19Z,,,
S00021,U04504,2026-03-10T04:34:43Z,Mobile,Paid Search,2026-03-10T04:34:43Z,2026-03-10T04:37:08Z,,,
S00022,U05652,2026-02-24T07:42:40Z,Desktop,Social,2026-02-24T07:42:40Z,2026-02-24T07:44:09Z,,,
S00023,U00992,2026-03-27T13:35:44Z,Mobile,Paid Search,2026-03-27T13:35:44Z,2026-03-27T13:36:10Z,2026-03-27T13:38:50Z,2026-03-27T13:41:30Z,2026-03-27T13:41:58Z
S00024,U02707,2026-01-08T08:20:07Z,Mobile,Organic,2026-01-08T08:20:07Z,2026-01-08T08:21:17Z,2026-01-08T08:23:31Z,2026-01-08T08:24:14Z,
